artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Olivia Tremor Control,1344175956,1,1nyxp,1,Largehearted Boy,152,A Sunshine Fix,lofi
Go Dugong,1343407168,23,1nsag,1,Matinée as Hell,240,Feeling So Hearthless,lofi
Go Dugong,1343407164,21,1nsaf,1,Matinée as Hell,218,All I Wanna Do,lofi
Silver Jews,1342973418,21,hk00,4,The 'Spill,147,Inside The Golden Days Of Missing You,lofi
Swiss Alps,1343259263,16,1nr4z,1,Matinée as Hell,186,The Hidden Bear,lofi
Mister Suit,1341237431,17,1n799,1,Dingus,190,Grown Up,lofi
SELA.,1334664456,12,1kh0g,1,Prefix Magazine,160,rpcguy,lofi
SELA.,1334671672,15,1kh2j,1,Prefix Magazine,138,early,lofi
Green Gerry,1334154725,16,1jt7k,3,Friends With Both Arms,141,Raindrops In Every Single People,lofi
Fluorescent Heights,1334590940,13,1fpdt,4,no fear of pop.,238,Paranormal Experience,lofi
Paul Westerberg,1333943771,4,1k1kk,2,Bottom of the Glass,145,Mr. Rabbit,lofi
Little Insects,1333487349,9,1k7ay,1,mp3hugger,214,Burn The City,lofi
シュガーフィールズ,1333768172,3,1k9x2,1,jsound,254,あいたいよ,lofi
The Dead Ships,1332792342,5,1k167,1,The Dadada Music Blog,179,Before You Go,lofi
cute boy kissing booth,1333577416,3,1k86z,1,AWD CASTLES,128,in the dark,lofi
Deathline,1337892992,5,1mche,1,Kemptation,154,Ten of Clubs,lofi
The Mountain Goats,1338058776,19,1mdrw,1,The 'Spill,120,The Monkey Song,lofi
Happy Birthday,1337357364,348,yvx3,46,Rollo & Grady,180,Girls FM,lofi
teen suicide,1337702252,7,1maj4,1,Zen Tapes,153,we found two dead swans and filled their bodies with flowers (acoustic),lofi
SELA.,1336401089,36,1kz5f,1,PORTALS,168,ericofsyracuse,lofi
Roommates,1337087152,43,ynqv,11,Thought on Tracks,257,Back To The Sun / Girlfriend Swap,lofi
Dreams West,1335247347,42,1knrj,1,rose quartz,353,v er sa il l es,lofi
SELA.,1335377727,33,1kh2k,2,Salad Fork,261,SCANDALOUS (Demo),lofi
SELA.,1334671678,14,1kh2m,1,Prefix Magazine,243,MILES,lofi
Nomen Novum,1334788425,7,1kjb2,1,Ohmpark,288,I Tore Your Wall Down,lofi
SELA.,1333994550,4,1kayx,1,Prefix Magazine,166,a beat that main attrakionz should rap over (extended),lofi
Matt Longo,1329610042,5,1j648,1,We All Want Someone To Shout For,228,Level-Headed Man,lofi
Matt Longo,1329610039,8,1j647,1,We All Want Someone To Shout For,225,Block of Ice,lofi
Fluorescent Heights,1329226215,22,1g0yc,2,no fear of pop.,238,Nightmare Beach,lofi
Matt Longo,1329610044,11,1j649,1,We All Want Someone To Shout For,112,Fireworks,lofi
Green Gerry,1328832369,8,1hz0c,1,Salad Fork,211,Celery Salt (Spiderman Quit Fucking With Me),lofi
SELA.,1328135226,13,1hs0m,1,Know Phase,128,126AM,lofi
North Bay,1328320694,9,1htgs,2,Gold Flake Paint,163,Breath,lofi
Nomen Novum,1327786116,6,1hnx5,1,QRO Magazine,275,Briar Hills,lofi
Bill Fox,1328129814,3,1hrx0,1,donewaiting,130,I Only Did it Cuz I Felt So Lonely,lofi
the boy i used to be.,1332441351,24,1jyqa,1,DrunkenWerewolf,178,Holiday,lofi
Green Gerry,1333402530,1,1k6cy,1,Sound Injections,141,Raindrops In Every Single People (Awes Awed),lofi
Wet,1331852590,11,1jt3q,1,Waves at Night,446,That's the Game,lofi
Brave Radar,1331906114,4,1jtda,1,weird canada,91,A Spike,lofi
SELA.,1331353774,27,1jnsj,1,rose quartz,148,maya,lofi
The Dead Ships,1331609351,18,1jaz2,5,Those Who Dig,230,Bones Cracked,lofi
Deathline,1330454310,5,1beqk,2,The Devil Has The Best Tuna,234,Every Dying Breath (demo),lofi
Phil Elverum,1330937811,3,1jh4j,1,das klienicum,291,Blue Light On The Floor,lofi
teen suicide,1330139257,10,1jawr,1,Nothing Sounds Better,193,dont like me,lofi
The Dead Ships,1330381840,9,1jaz8,3,The Dadada Music Blog,187,Before You Go,lofi
Daniel Johnston,1329116486,17,1j0vs,1,Music for Humans,311,Story of an Artist,lofi
